Pack	time	censored	motherage	pups3mo	ads3mo	attempt	censor	maxtemp	mintemp	meantemp	rainfall	days	IBI4	monthly	rounded
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	4
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	5
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	6
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	7
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	8
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	9
Pontoon	273.5	no	30	6	4	1	0	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	10
Pontoon	273.5	no	30	6	4	1	1	29.082	10.59	18.53	0.46	1446	345.5	11.51666667	11
Lendile	180	no	96	3	14	6	0	27.319	12.69	18.76	1.13	1594	252	8.4	1
Lendile	180	no	96	3	14	6	0	27.319	12.69	18.76	1.13	1594	252	8.4	2
Lendile	180	no	96	3	14	6	0	27.319	12.69	18.76	1.13	1594	252	8.4	3
Lendile	180	no	96	3	14	6	0	27.319	12.69	18.76	1.13	1594	252	8.4	4
Lendile	180	no	96	3	14	6	0	27.319	12.69	18.76	1.13	1594	252	8.4	5
Lendile	180	no	96	3	14	6	0	27.319	12.69	18.76	1.13	1594	252	8.4	6
Lendile	180	no	96	3	14	6	0	27.319	12.69	18.76	1.13	1594	252	8.4	7
Lendile	180	no	96	3	14	6	1	27.319	12.69	18.76	1.13	1594	252	8.4	8
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	1
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	2
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	3
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	4
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	5
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	6
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	7
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	8
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	9
Tenais	230	yes	50	14	15	3	0	28.274	12.16	19.15	2.05	1679	302	10.06666667	10
Bagines	153.5	no	24	5	3	1	0	27.845	11.78	19.53	0.57	1730	225.5	7.516666667	1
Bagines	153.5	no	24	5	3	1	0	27.845	11.78	19.53	0.57	1730	225.5	7.516666667	2
Bagines	153.5	no	24	5	3	1	0	27.845	11.78	19.53	0.57	1730	225.5	7.516666667	3
Bagines	153.5	no	24	5	3	1	0	27.845	11.78	19.53	0.57	1730	225.5	7.516666667	4
Bagines	153.5	no	24	5	3	1	0	27.845	11.78	19.53	0.57	1730	225.5	7.516666667	5
Bagines	153.5	no	24	5	3	1	0	27.845	11.78	19.53	0.57	1730	225.5	7.516666667	6
Bagines	153.5	no	24	5	3	1	1	27.845	11.78	19.53	0.57	1730	225.5	7.516666667	7
Mugur	165	yes	NA	9	15	3	0	27.546	11.41	19.44	0.43	1748	237	7.9	1
Mugur	165	yes	NA	9	15	3	0	27.546	11.41	19.44	0.43	1748	237	7.9	2
Mugur	165	yes	NA	9	15	3	0	27.546	11.41	19.44	0.43	1748	237	7.9	3
Mugur	165	yes	NA	9	15	3	0	27.546	11.41	19.44	0.43	1748	237	7.9	4
Mugur	165	yes	NA	9	15	3	0	27.546	11.41	19.44	0.43	1748	237	7.9	5
Mugur	165	yes	NA	9	15	3	0	27.546	11.41	19.44	0.43	1748	237	7.9	6
Mugur	165	yes	NA	9	15	3	0	27.546	11.41	19.44	0.43	1748	237	7.9	7
Pontoon	163.5	no	41	0	6	2	0	28.037	10.6	19.98	0.07	1792	235.5	7.85	1
Pontoon	163.5	no	41	0	6	2	0	28.037	10.6	19.98	0.07	1792	235.5	7.85	2
Pontoon	163.5	no	41	0	6	2	0	28.037	10.6	19.98	0.07	1792	235.5	7.85	3
Pontoon	163.5	no	41	0	6	2	0	28.037	10.6	19.98	0.07	1792	235.5	7.85	4
Pontoon	163.5	no	41	0	6	2	0	28.037	10.6	19.98	0.07	1792	235.5	7.85	5
Pontoon	163.5	no	41	0	6	2	0	28.037	10.6	19.98	0.07	1792	235.5	7.85	6
Pontoon	163.5	no	41	0	6	2	1	28.037	10.6	19.98	0.07	1792	235.5	7.85	7
Lendile	139	yes	NA	9	14	7	0	29.146	12.53	20.8	0.92	1846	211	7.033333333	1
Lendile	139	yes	NA	9	14	7	0	29.146	12.53	20.8	0.92	1846	211	7.033333333	2
Lendile	139	yes	NA	9	14	7	0	29.146	12.53	20.8	0.92	1846	211	7.033333333	3
Lendile	139	yes	NA	9	14	7	0	29.146	12.53	20.8	0.92	1846	211	7.033333333	4
Lendile	139	yes	NA	9	14	7	0	29.146	12.53	20.8	0.92	1846	211	7.033333333	5
Lendile	139	yes	NA	9	14	7	0	29.146	12.53	20.8	0.92	1846	211	7.033333333	6
Lendile	139	yes	NA	9	14	7	0	29.146	12.53	20.8	0.92	1846	211	7.033333333	7
Bagines	232.5	no	NA	NA	NA	2	1	28.542	12.78	19.4	1.76	1956	313.5	10.45	1
Bagines	233.5	no	NA	NA	NA	2	0	28.542	12.78	19.4	1.76	1956	313.5	10.45	2
Bagines	234.5	no	NA	NA	NA	2	0	28.542	12.78	19.4	1.76	1956	313.5	10.45	3
Bagines	235.5	no	NA	NA	NA	2	0	28.542	12.78	19.4	1.76	1956	313.5	10.45	4
Bagines	236.5	no	NA	NA	NA	2	0	28.542	12.78	19.4	1.76	1956	313.5	10.45	5
Bagines	237.5	no	NA	NA	NA	2	0	28.542	12.78	19.4	1.76	1956	313.5	10.45	6
Bagines	238.5	no	NA	NA	NA	2	0	28.542	12.78	19.4	1.76	1956	313.5	10.45	7
Bagines	239.5	no	NA	NA	NA	2	0	28.542	12.78	19.4	1.76	1956	313.5	10.45	8
Bagines	240.5	no	NA	NA	NA	2	0	28.542	12.78	19.4	1.76	1956	313.5	10.45	9
Bagines	241.5	no	NA	NA	NA	2	1	28.542	12.78	19.4	1.76	1956	313.5	10.45	10
Sosian	197.5	no	41	8	9	6	0	26.851	13.69	19.55	2.82	2095	277.5	9.25	1
Sosian	198.5	no	41	8	9	6	0	26.851	13.69	19.55	2.82	2095	277.5	9.25	2
Sosian	199.5	no	41	8	9	6	0	26.851	13.69	19.55	2.82	2095	277.5	9.25	3
Sosian	200.5	no	41	8	9	6	0	26.851	13.69	19.55	2.82	2095	277.5	9.25	4
Sosian	201.5	no	41	8	9	6	0	26.851	13.69	19.55	2.82	2095	277.5	9.25	5
Sosian	202.5	no	41	8	9	6	0	26.851	13.69	19.55	2.82	2095	277.5	9.25	6
Sosian	203.5	no	41	8	9	6	0	26.851	13.69	19.55	2.82	2095	277.5	9.25	7
Sosian	204.5	no	41	8	9	6	0	26.851	13.69	19.55	2.82	2095	277.5	9.25	8
Sosian	205.5	no	41	8	9	6	1	26.851	13.69	19.55	2.82	2095	277.5	9.25	9
Loisaba	291	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	1
Loisaba	292	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	2
Loisaba	293	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	3
Loisaba	294	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	4
Loisaba	295	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	5
Loisaba	296	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	6
Loisaba	297	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	7
Loisaba	298	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	8
Loisaba	299	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	9
Loisaba	300	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	10
Loisaba	301	no	50	12	10	2	0	28.396	11.72	20.27	0.71	2188	374	12.46666667	11
Loisaba	302	no	50	12	10	2	1	28.396	11.72	20.27	0.71	2188	374	12.46666667	12
Rat	288	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	1
Rat	289	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	2
Rat	290	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	3
Rat	291	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	4
Rat	292	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	5
Rat	293	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	6
Rat	294	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	7
Rat	295	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	8
Rat	296	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	9
Rat	297	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	10
Rat	298	no	55	9	9	2	0	28.866	11.62	20.47	0.36	2197	371	12.36666667	11
Rat	299	no	55	9	9	2	1	28.866	11.62	20.47	0.36	2197	371	12.36666667	12
Bagines	268.5	no	32	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	1
Bagines	269.5	no	33	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	2
Bagines	270.5	no	34	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	3
Bagines	271.5	no	35	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	4
Bagines	272.5	no	36	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	5
Bagines	273.5	no	37	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	6
Bagines	274.5	no	38	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	7
Bagines	275.5	no	39	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	8
Bagines	276.5	no	40	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	9
Bagines	277.5	no	41	NA	NA	3	0	28.628	13.27	20	2.32	2269	350.5	11.68333333	10
Bagines	278.5	no	42	NA	NA	3	1	28.628	13.27	20	2.32	2269	350.5	11.68333333	11
Dalambo	271	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	1
Dalambo	272	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	2
Dalambo	273	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	3
Dalambo	274	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	4
Dalambo	275	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	5
Dalambo	276	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	6
Dalambo	277	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	7
Dalambo	278	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	8
Dalambo	279	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	9
Dalambo	280	no	34	5	5	1	0	28.084	13.16	19.44	2.27	2299	353	11.76666667	10
Dalambo	281	no	34	5	5	1	1	28.084	13.16	19.44	2.27	2299	353	11.76666667	11
